fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Feb,24,ODISHA,2414,BARGARH,3849427,306.734842591361,42,180,1187.240329952,17053,0,15575,2391546,383406,45722,602787,60026,381.78453,8904.729718552,55761,86723,135556,258401,3828,202533,359091,32628,7335.7048586,987468,69,32.09,48.64,99.89,NA
2024-2025,Feb,24,ODISHA,2417,BHADRAK,2453887,257.810794311057,30,101,3021.370666421,23446,0,25474,1169567,164143,29962,7020,1458,229.01805,6265.658689121,38389,50889,138266,208142,102,267457,374637,48920,3015.2699727,551495,78,27.46,6.94,99.95,NA
2024-2025,Feb,24,ODISHA,2418,KENDRAPARA,1996716,256.214105842282,28,105,438.078060334,8261,0,19656,649438,111442,43680,1939,1281,149.62049,2251.650315034,22498,30622,129216,227436,50,219988,355556,27917,1663.9517647,282291,49,40.28,2.64,99.77,NA
2024-2025,Feb,24,ODISHA,2421,ANGUL,3854357,254.364943920335,40,138,4099.665971803,12567,2,18084,1881074,212719,32547,260808,32871,172.15121,9056.610007003,46496,63839,139423,243509,1193,182611,306170,30651,4784.7928252,967709,58,52.28,7.76,99.81,NA
2024-2025,Feb,24,ODISHA,2423,KHORDHA,1416711,254.679080443091,32,72,1438.992075134,5351,0,8127,613328,66322,16506,45191,8803,103.46804,3104.478225634,18979,26404,68193,125714,343,114607,196187,13478,1562.0181105,283953,54,46.88,14.85,99.92,NA
2024-2025,Feb,24,ODISHA,2426,BOUDH,1791595,255.2637527046,39,37,2219.0360086271,10305,0,11650,1434131,253803,27483,146472,14098,125.48921,6005.34182792711,35981,55900,73407,133661,558,96511,169201,21955,3660.81660930001,659349,79,37.99,18.09,99.56,NA
2024-2025,Dec,24,ODISHA,2404,MAYURBHANJ,10571959,256.934531383809,41,329,7191.762567344,72216,0,75167,7369389,678530,58005,3695147,308981,376.09361,26502.361270344,177484,231602,354352,585276,3301,435618,694951,147383,18934.505093,3832889,84,35.61,7.94,99.7,NA
2024-2025,Dec,24,ODISHA,2412,GANJAM,17335620,231.950214206881,33,203,10688.566171337,27267,0,30087,3559036,530659,101914,212487,27811,499.91495,19443.672747037,107168,122270,404000,582580,991,437003,624397,57354,8255.1916257,2052536,42,41.96,27.29,99.57,NA
2024-2025,Dec,24,ODISHA,2416,DEOGARH,1088902,261.960782493163,36,137,1500.406474559,3586,0,4465,774486,92130,13363,266085,29836,82.59781,3611.853870459,21160,31846,49709,90970,387,65302,115915,8051,2028.8495859,393177,35,52.91,20.48,99.84,NA
2024-2025,Nov,24,ODISHA,2404,MAYURBHANJ,9367031,256.642950564071,40,315,7154.023747344,61580,0,108667,6880603,636572,57912,3437222,308289,371.87797,25184.484273144,171581,223343,353494,583927,2803,434190,692790,170247,17658.5825558,3585217,86,34.42,7.51,99.68,NA
2024-2025,Nov,24,ODISHA,2414,BARGARH,2934817,303.894151672822,35,143,884.035590649,15904,0,18513,1601157,250238,44942,386839,59204,285.1123,6034.970372749,45643,69284,133291,254435,1592,188974,338483,34417,4865.8224821,662452,73,33.22,43.81,99.87,NA
2024-2025,Nov,24,ODISHA,2420,JAJPUR,2331133,257.999113837708,29,68,1688.956929707,9771,0,16381,844439,160164,46394,49975,12516,126.85577,3994.457836607,28513,37555,136359,217135,78,200987,302084,26152,2178.6451369,350367,55,69.45,5.82,99.55,NA
2024-2025,Nov,24,ODISHA,2426,BOUDH,1514949,255.561128690651,35,31,1804.9469598141,8344,0,12169,1045344,193410,27092,116535,13990,88.06929,4564.5091749141,29332,44961,72113,131248,235,93742,164079,20513,2671.4929251,480428,79,39.81,20.67,99.49,NA
2024-2025,Nov,24,ODISHA,2429,RAYAGADA,4335438,265.367004702099,42,345,4615.864960815,12863,0,36207,2819379,492868,34344,1765755,124453,202.02421,12299.590774315,66403,91190,124944,202076,3025,155355,242784,49070,7481.70160349999,1375587,59,57.08,10.88,99.42,NA
2024-2025,Nov,24,ODISHA,2430,NABARANGAPUR,5209913,270.153044446426,44,165,6511.205558741,12398,0,39014,3274684,497565,41485,1614561,146641,168.05287,15525.916950741,73878,100179,165387,269174,3375,212318,333503,51412,8846.658522,1494315,73,33.24,28.48,99.38,NA
2024-2025,Nov,24,ODISHA,2402,SUNDARGARH,7716468,251.888305480662,41,380,4072.789414682,24287,0,35691,4857643,410509,30628,3324613,240350,336.66182,16645.285873682,117697,151181,217294,347486,3595,240391,382646,59978,12235.834639,2371936,75,35.9,35.57,99.75,NA
2024-2025,Nov,24,ODISHA,2403,KENDUJHAR,6912551,252.224550863933,36,319,2570.167174407,25758,0,54895,3950540,405461,48217,2002045,209781,247.05156,12781.450506107,108744,155767,250962,450449,2003,315050,538551,80653,9964.23177170001,2047903,86,30.88,16.67,99.76,NA
2024-2025,Nov,24,ODISHA,2413,PURI,1506331,269.516459207121,25,45,922.14484201,13960,0,19235,640173,120723,38762,3057,1016,175.63772,2823.15416441,24776,37498,119244,244858,111,195397,370526,33195,1725.3716024,289752,85,32.55,10.2,99.6,NA
2024-2025,Nov,24,ODISHA,2414,BARGARH,2934817,303.448688794567,35,142,884.603270649,15914,0,18543,1629165,255217,44960,395259,59240,285.9686,6114.251701449,46025,69974,133353,254543,1642,189033,338590,34457,4943.6798308,673284,73,32.92,44.34,99.87,NA
2024-2025,Nov,24,ODISHA,2418,KENDRAPARA,1703216,257.799600870384,28,67,414.502532942,7016,0,23608,474733,81044,43086,1438,1265,131.26513,1769.627442142,16917,23009,128025,223814,28,195824,322376,30624,1223.8597792,208394,53,43.85,3,99.7,NA
2024-2025,Nov,24,ODISHA,2419,JAGATSINGHAPUR,1251380,258.919876991842,24,66,1374.061268789,3910,0,10072,388836,46900,24686,1043,573,88.63205,2469.467011689,16127,23214,81473,139117,76,123639,199351,13982,1006.7736929,162946,54,51.45,5.09,99.72,NA
2024-2025,Nov,24,ODISHA,2420,JAJPUR,2331133,257.606907247782,29,68,1688.956929707,9784,0,16374,850136,161439,46392,50273,12513,126.85577,4005.821756707,28577,37632,136365,217138,78,201004,302101,26158,2190.009057,352687,55,69.55,5.78,99.56,NA
2024-2025,Nov,24,ODISHA,2423,KHORDHA,1163818,254.444113315798,27,57,1340.347465472,4249,0,9104,394261,36486,16238,27332,8609,74.54109,2418.062461072,14402,19815,67088,123673,159,109247,189874,13353,1003.1739056,174853,55,49.47,17.2,99.87,NA
2024-2025,Nov,24,ODISHA,2424,GAJAPATI,2521751,280.007827188767,37,114,2914.931327694,8717,0,21601,1704704,102130,11142,1163398,111138,172.89211,7861.128068094,44917,65254,90933,169023,1688,110522,197256,30318,4773.3046304,853690,64,50.25,22.07,99.52,NA
2024-2025,Nov,24,ODISHA,2428,NUAPADA,2858816,335.938248791908,53,587,2541.926833985,23263,0,32056,2931896,381904,27329,1120788,76775,97.92804,12489.214952785,54739,102175,87623,196591,7622,99851,216973,55319,9849.3600788,1351942,77,44.99,21.86,99.67,NA
2024-2025,Nov,24,ODISHA,2430,NABARANGAPUR,5209913,269.85788293018,44,165,6511.569558741,12425,0,39051,3304780,502851,41514,1630592,146748,168.05287,15597.831772241,74205,100616,165543,269362,3459,212414,333629,51476,8918.2093435,1507413,73,33.45,28.44,99.39,NA
2024-2025,Nov,24,ODISHA,2405,BALESHWAR,2178971,257.942258932076,32,147,2198.656989845,19787,0,49763,1441938,222457,44236,96517,18614,171.44627,6089.470709445,44428,59898,161053,270267,107,253998,406794,69550,3719.3674496,720335,78,30.57,4.31,99.71,NA
2024-2025,Nov,24,ODISHA,2407,DHENKANAL,3829001,259.777201485418,38,109,3742.51542068,9752,0,17729,1656100,281489,51509,280026,37771,180.12494,8224.81059448,43155,57851,156380,272060,719,199542,340861,27481,4302.1702338,791641,60,43.32,20.29,99.29,NA
2024-2025,Nov,24,ODISHA,2409,BOLANGIR,6871981,304.637436539235,46,437,7418.84037618999,28516,0,46619,5314386,737286,67796,1150935,100392,347.909,23956.35865439,115339,188623,232439,437266,9967,287387,522862,75135,16189.6092782,2311730,75,36,49.61,99.72,NA
2024-2025,Nov,24,ODISHA,2411,KORAPUT,7272987,267.724181086624,44,504,12020.716308416,21010,0,50631,5011226,674677,46023,2864206,189661,233.20187,25670.181949316,111853,145610,220503,338860,5766,257481,385857,71641,13416.2637709,2300289,63,51.64,20.25,99.26,NA
2024-2025,Nov,24,ODISHA,2421,ANGUL,3040548,254.412444011415,36,116,3831.692967511,10152,2,22876,1334781,157895,33149,205249,34472,145.79788,7373.339811811,36933,50045,138338,245446,442,171998,294592,33028,3395.8489643,688839,63,56.55,8.51,99.79,NA
2024-2025,Nov,24,ODISHA,2422,NAYAGARH,2149184,256.274373908384,32,71,3415.57622535001,10339,0,17755,992794,104065,24515,102001,15183,171.56568,6131.41851305001,30661,46289,112443,227340,147,167322,328798,28094,2544.2766077,461499,71,45.57,19.29,99.68,NA
2024-2025,Nov,24,ODISHA,2428,NUAPADA,2858816,335.961777396873,54,599,2545.358423985,23288,0,32197,2984702,388172,27349,1142315,76859,97.92804,12670.744353185,55074,102885,87718,196808,7852,99894,217117,55485,10027.4578892,1376053,77,45.06,21.94,99.67,NA
2024-2025,Nov,24,ODISHA,2408,KANDHAMAL,6907435,260.799455597284,56,3225,7218.897687131,18454,0,36824,6717821,1456007,54640,3687305,136549,250.80985,24989.748133131,117867,179355,147938,246687,15528,158559,265601,55278,17520.040596,3353535,55,30.29,49.39,99.69,NA
2024-2025,Nov,24,ODISHA,2414,BARGARH,2934817,303.074194876614,34,140,882.191730649,15800,0,18572,1581298,246704,44913,381322,59184,285.1123,5959.810212749,45301,68748,133196,254258,1535,188905,338368,34372,4792.5061821,654078,73,33.38,43.51,99.86,NA
2024-2025,Nov,24,ODISHA,2417,BHADRAK,2072365,260.09355359794,28,83,2482.406350787,11551,0,34915,913356,133189,29348,5941,1439,177.54906,5035.535488187,32111,42175,136124,203586,44,201408,290573,46466,2375.5800774,426399,78,27.69,6.39,99.55,NA
2024-2025,Nov,24,ODISHA,2421,ANGUL,3040548,254.068772295144,35,113,3831.547967511,10022,2,22924,1283183,151673,33125,200738,34458,145.79788,7237.513141911,35997,48645,138173,245248,389,171789,294333,32946,3260.1672944,662762,63,56.74,8.35,99.79,NA
2024-2025,Nov,24,ODISHA,2423,KHORDHA,1163818,254.311430013765,27,56,1338.065065472,4165,0,8974,384297,35907,16231,26388,8592,74.54109,2389.917351672,14005,19314,66949,123468,149,109226,189817,13139,977.3111962,170214,54,49.47,17.34,99.86,NA
2024-2025,Nov,24,ODISHA,2424,GAJAPATI,2521751,279.227515740011,37,114,2907.126207694,8485,0,21670,1649300,98161,11133,1124840,111021,172.89211,7685.317734794,44121,64004,90807,168845,1557,110456,197164,30155,4605.2994171,825718,64,50.17,21.99,99.5,NA
2024-2025,Nov,24,ODISHA,2431,MALKANGIRI,2706888,252.620349824496,44,281,3664.113078735,11090,0,22621,2298524,545002,38809,1378983,91604,121.98929,9592.641738335,51744,70003,96336,156715,2766,114573,181166,33711,5806.5393696,1007343,71,45.11,29.19,99.61,NA
2024-2025,Nov,24,ODISHA,2401,SAMBALPUR,2058647,253.412975779659,36,67,800.099370257,11822,0,12259,1244615,178990,24352,630568,78803,184.24247,4138.357748757,34438,48640,90393,159957,517,128915,225685,24081,3154.0159085,584437,69,33.73,34.73,99.59,NA
2024-2025,Nov,24,ODISHA,2403,KENDUJHAR,6912551,251.844920195535,36,316,2569.912174407,25479,0,55107,3909493,402063,48208,1978413,209760,247.05156,12662.823260307,108267,155022,250915,450378,1962,315035,538526,80586,9845.85952590001,2026628,86,30.83,16.52,99.75,NA
2024-2025,Nov,24,ODISHA,2408,KANDHAMAL,6907435,261.469035966797,57,3231,7226.345697131,19354,0,35997,6810865,1474220,54707,3739974,136629,250.80985,25285.458603631,118334,180189,148053,246864,16011,158671,265771,55351,17808.3030565,3399203,56,30.43,49.4,99.7,NA
2024-2025,Nov,24,ODISHA,2416,DEOGARH,972915,264.842800595875,34,135,1497.513254559,3440,0,4572,677995,79962,13327,232695,29723,82.59781,3375.732010459,19794,29649,49526,90642,250,65135,115648,8012,1795.6209459,344732,36,52.16,20.18,99.82,NA
2024-2025,Nov,24,ODISHA,2420,JAJPUR,2331133,257.962888798912,29,68,1688.956929707,9772,0,16380,844659,160193,46394,49975,12516,126.85577,3994.719456607,28517,37560,136359,217135,78,200987,302084,26152,2178.9067569,350457,55,69.44,5.82,99.55,NA
2024-2025,Nov,24,ODISHA,2424,GAJAPATI,2521751,279.037455234999,37,114,2911.409137694,8690,0,21579,1686753,100233,11142,1151837,111136,172.89211,7790.973894994,44756,64992,90907,169020,1645,110528,197304,30269,4706.6726473,844773,64,50.25,21.98,99.51,NA
2024-2025,Nov,24,ODISHA,2426,BOUDH,1514949,255.370690150353,35,31,1804.9469598141,8344,0,12172,1047337,193888,27092,116875,13990,88.06929,4567.6079749141,29356,44981,72120,131256,237,93745,164082,20516,2674.5917251,481350,79,39.82,20.64,99.49,NA
2024-2025,Nov,24,ODISHA,2428,NUAPADA,2858816,336.543322218859,53,578,2541.454833985,23229,0,31953,2893524,376391,27295,1105534,76749,88.3001,12367.716732785,54285,101259,87560,196452,7512,99824,216889,55182,9737.96179880001,1334225,77,44.93,21.8,99.67,NA
2024-2025,Feb,24,ODISHA,2402,SUNDARGARH,9302751,252.390360457991,53,503,4953.068586687,28694,0,22780,7927498,664015,30970,5473615,245733,526.72206,25488.031424187,148382,194692,222211,354950,12297,268677,421385,51474,20008.2407775,3855673,68,34.72,42.06,99.83,NA
2024-2025,Feb,24,ODISHA,2406,CUTTACK,2181593,251.408605253303,29,58,1602.983776793,9183,0,12629,651552,88425,47426,36222,10753,149.74233,3390.783902493,22364,32326,122877,242265,101,227133,405821,21812,1638.0577957,301724,64,33.63,14.9,99.8,NA
2024-2025,Feb,24,ODISHA,2408,KANDHAMAL,8074338,264.46436827,67,3463,8791.682838345,23179,0,30823,8566215,1836739,55891,4735910,139837,359.33728,31805.606502745,126030,193675,150678,252666,25769,166794,280003,54002,22654.5863844,4265789,52,30.84,49.46,99.76,NA
2024-2025,Feb,24,ODISHA,2414,BARGARH,3849427,306.532937751735,43,184,1194.712069952,17126,0,15681,2504616,398781,45844,630686,60169,381.78453,9253.969604152,57190,89072,136063,259257,4113,205029,362980,32807,7677.4730042,1033491,69,32.64,48.54,99.89,NA
2024-2025,Feb,24,ODISHA,2415,JHARSUGUDA,1462691,253.860550284981,44,45,868.048488182001,6011,0,4184,971642,206895,19779,443636,42052,126.28912,3460.953336182,21882,32091,50430,96473,1180,67465,121726,10195,2466.615728,460027,60,39.98,24.89,99.84,NA
2024-2025,Feb,24,ODISHA,2419,JAGATSINGHAPUR,1388632,256.553291344925,27,94,1601.452334688,5807,0,8992,640653,76435,24863,2080,574,112.3043,3357.372992288,23320,34352,82733,141491,150,142252,225953,14799,1643.6163576,274605,53,50.17,5.06,99.73,NA
2024-2025,Feb,24,ODISHA,2426,BOUDH,1791595,254.967326610711,40,37,2220.2405086271,10659,0,11744,1517265,267405,27558,151778,14142,125.48921,6214.25972672711,37137,57891,73675,134194,641,97123,170309,22403,3868.53000810001,697473,80,37.78,17.6,99.57,NA
2024-2025,Feb,24,ODISHA,2427,SONEPUR,1792934,257.400860782267,41,51,2439.797262229,9736,0,10384,1512961,249951,27777,113278,10613,190.98679,6525.158689529,36115,50214,81151,139572,658,121497,202910,20120,3894.3746373,652142,78,33.08,14.13,100.44,NA
2024-2025,Feb,24,ODISHA,2430,NABARANGAPUR,6250852,277.050206543653,52,191,7740.069722515,14637,0,29132,4676929,715886,42050,2317927,145709,229.77868,20927.289856915,89573,122584,168646,269590,7696,218525,337817,43769,12957.4414544,2128605,66,34.76,27.35,99.57,NA
2024-2025,Feb,24,ODISHA,2408,KANDHAMAL,8074338,264.326626609486,68,3469,8791.682838345,23180,0,30837,8575408,1838419,55892,4741885,139845,359.33728,31818.106802745,126095,193790,150683,252677,25808,166844,280087,54017,22667.0866844,4270524,52,30.85,49.46,99.76,NA
2024-2025,Feb,24,ODISHA,2414,BARGARH,3849427,306.204134863831,43,185,1194.772069952,17126,0,15697,2514477,400328,45856,633057,60168,381.78453,9275.989144152,57252,89193,136092,259306,4133,205317,363443,32823,7699.4325442,1037376,69,32.73,48.51,99.89,NA
2024-2025,Feb,24,ODISHA,2415,JHARSUGUDA,1462691,253.075492433606,44,47,868.048488182001,6011,0,4188,974903,207639,19781,444844,42053,126.28912,3461.578176182,21926,32183,50437,96493,1185,67662,121941,10199,2467.240568,461426,60,40,24.82,99.84,NA
2024-2025,Dec,24,ODISHA,2402,SUNDARGARH,8487722,252.775516797159,44,412,4102.843524682,25167,0,22332,5476462,463682,30592,3753546,240637,336.66182,18282.660467382,124137,160116,217779,347840,5059,241134,383311,47499,13843.1551227,2662660,68,36.22,36.81,99.79,NA
2024-2025,Dec,24,ODISHA,2403,KENDUJHAR,7581729,253.775437333679,37,330,2576.572284407,27000,0,38236,4210595,431749,48237,2141302,209492,247.05156,13509.079720007,112253,161069,250942,450174,2381,315002,538172,65236,10685.4558756,2181128,83,30.74,17.61,99.79,NA
2024-2025,Dec,24,ODISHA,2408,KANDHAMAL,7488891,262.781089759308,60,3268,7253.028235631,20990,0,30652,7226660,1563960,55035,3973691,137856,250.80985,26494.133986831,119925,182909,148878,248936,18264,159625,268133,51642,18990.2959012,3602515,52,30.21,49.92,99.76,NA
2024-2025,Dec,24,ODISHA,2416,DEOGARH,1088902,262.761817242159,36,137,1500.336754559,3586,0,4458,769138,91443,13362,263818,29819,82.59781,3603.935550459,21059,31689,49700,90946,384,65292,115891,8044,2021.0009859,390459,35,52.67,20.51,99.84,NA
2024-2025,Dec,24,ODISHA,2417,BHADRAK,2221038,260.113111924502,29,86,2483.565850787,12307,0,24302,966598,140294,29427,6133,1441,184.85241,5182.666398387,33235,43674,136402,203966,54,202401,291911,36609,2514.2481376,451462,71,27.66,7.08,99.58,NA
2024-2025,Dec,24,ODISHA,2428,NUAPADA,3277980,338.653596311226,58,631,2551.165623985,23726,0,25579,3326959,432843,27478,1264938,77232,97.92804,13915.959965285,57241,107552,88132,197922,9375,100421,218607,49305,11266.8663013,1535228,74,45.75,22.42,99.73,NA
2024-2025,Dec,24,ODISHA,2431,MALKANGIRI,2992175,254.476298071543,46,298,3667.508768735,11763,0,18912,2564693,605766,39113,1540604,92126,150.04528,10344.089852035,54591,74072,97104,157737,3562,115288,182049,30675,6526.5358033,1121211,66,42.81,31.99,99.65,NA
2024-2025,Dec,24,ODISHA,2404,MAYURBHANJ,10571959,256.872722590958,41,327,7182.688997344,63611,0,75210,7279687,671046,57978,3647787,308841,376.09361,26258.312800344,176528,230237,354200,584976,3200,434988,693933,138821,18699.530193,3787446,83,35.34,7.88,99.69,NA
2024-2025,Dec,24,ODISHA,2406,CUTTACK,2010049,252.349289512287,28,52,1504.811569746,6584,0,11918,466975,64449,46579,28611,10580,122.02227,2805.241934446,16241,23160,121364,237573,67,202090,367890,18502,1178.4080947,218213,58,39.04,16.36,99.71,NA
2024-2025,Dec,24,ODISHA,2409,BOLANGIR,7638794,304.462717095936,47,444,7450.86928618999,29405,0,38154,5552384,771871,67876,1208328,100521,347.909,24703.71747619,117711,192738,232808,437906,10733,287753,523411,67559,16904.93919,2415673,72,35.92,49.76,99.74,NA
2024-2025,Dec,24,ODISHA,2415,JHARSUGUDA,1303822,255.096550973927,37,31,755.196341539001,5648,0,4052,617757,133520,19449,275290,41291,85.94897,2417.022111939,16480,23311,49619,94817,458,63353,115684,9700,1575.8768004,295084,60,43.49,20.94,99.82,NA
2024-2025,Dec,24,ODISHA,2417,BHADRAK,2221038,259.401969109564,29,86,2483.565850787,12251,0,24300,963146,139607,29420,6119,1441,184.85241,5166.837950187,33147,43578,136409,203953,50,201841,291163,36551,2498.4196894,449854,71,27.48,6.66,99.58,NA
2024-2025,Dec,24,ODISHA,2418,KENDRAPARA,1840262,259.129099526258,28,70,414.889182942,7425,0,19075,495206,84421,43049,1464,1265,134.79175,1832.903781542,17345,23556,128013,223745,33,195869,322406,26500,1283.2228486,216396,46,44.38,2.94,99.74,NA
2024-2025,Dec,24,ODISHA,2420,JAJPUR,2556840,258.52505709918,30,71,1691.499429707,10226,0,13131,879172,166903,46415,52016,12518,126.85577,4091.235114707,29081,38318,136468,217297,94,201198,302360,23357,2272.879915,364900,49,69.84,5.78,99.58,NA
2024-2025,Dec,24,ODISHA,2423,KHORDHA,1269853,254.78520169575,27,60,1343.953245472,4408,0,8426,422468,38842,16267,29092,8617,74.54109,2494.880281372,15116,20838,67310,124070,178,109410,190132,12834,1076.3859459,188674,53,48.99,16.73,99.86,NA
2024-2025,Dec,24,ODISHA,2426,BOUDH,1646300,255.454300812445,36,34,1804.9760598141,8655,0,10423,1109123,204143,27125,121325,13994,88.06929,4726.34775461411,30256,46402,72285,131513,321,93840,164225,19078,2833.30240480001,509752,77,39.77,19.93,99.51,NA
2024-2025,Dec,24,ODISHA,2431,MALKANGIRI,2992175,254.264552128742,46,297,3667.508768735,11698,0,18903,2541266,599657,39082,1526860,92060,150.04528,10279.092662035,54245,73615,96987,157609,3496,115216,181966,30601,6461.5386133,1110809,66,42.95,31.86,99.64,NA
2024-2025,Dec,24,ODISHA,2404,MAYURBHANJ,10571959,257.009050847027,41,328,7190.098507344,63716,0,75179,7328629,674930,57990,3672597,308937,376.09361,26401.431950344,177073,231023,354322,585181,3260,435292,694409,138895,18835.239833,3812055,83,35.52,7.89,99.69,NA
2024-2025,Dec,24,ODISHA,2405,BALESHWAR,2427845,258.664587956998,32,150,2204.771639845,23619,0,35322,1507913,232252,44316,100660,18628,171.44627,6276.654858045,45750,61735,161307,270888,124,254817,408269,58941,3900.4369482,753620,74,30.69,4.42,99.72,NA
2024-2025,Dec,24,ODISHA,2414,BARGARH,3307682,304.603979932638,37,150,890.233740649,16332,0,15030,1770736,281559,45039,433302,59350,285.9686,6569.934670749,47851,73035,133678,254966,1951,189089,338519,31362,5393.7323301,730641,70,32.41,45.54,99.88,NA
2024-2025,Dec,24,ODISHA,2417,BHADRAK,2221038,260.054284315481,29,86,2483.565850787,12307,0,24301,966131,140178,29424,6133,1441,184.85241,5180.883318387,33231,43674,136421,203974,54,202106,291503,36608,2512.4650576,451200,71,27.68,7.01,99.58,NA
